step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.948694251811691,0,0.0,0.9449407497714886,0,0.0,0.9491831812225945,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9425533222257534,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9421082383828512,0,0.0,0.9395237283670876,0,0.0,0.9376579561576577,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9365694151280188,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.447690503696744,0,0.0,0.9343490208776136,0,0.0,0.9769638191477603,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97657402626383,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97636744525536,0,0.0,0.9774886966184606,0,0.0,0.9754470432938724,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9754293993633073,0,0.0,1.0,0,0.0
15.0,5,8.0,0.2,10.693538357344446,1,2.0,0.7863273045017297,0,0.0,0.7971553658245407,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6122076614471685,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7164452992510562,1,2.0,0.7633626323999618,1,2.0,0.7599316067355361,0,0.0,0.9427491638343932,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9569689763866747,0,0.0,0.9458175295776104,5,8.0
20.0,6,22.0,0.39285714285714285,9.243452004360218,0,0.0,0.7329148059216173,1,6.0,0.5420466012228015,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7052973960542994,0,2.0,0.4244548226340259,0,0.0,1.0,0,0.0,1.0,3,10.0,0.5235384323958143,2,8.0,0.5317855944281499,0,0.0,0.8536722522967027,0,2.0,0.735969238917745,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9436873699878052,0,0.0,0.9240551578584274,6,28.0
25.0,3,8.0,0.1111111111111111,10.409450551373347,2,7.0,0.7841162384268464,0,3.0,0.7921200002615584,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568820445958647,0,2.0,0.8849025764174191,0,0.0,1.0,0,0.0,1.0,0,4.0,0.5740970534035936,0,4.0,0.6268317070059445,1,1.0,0.7718616082450133,0,4.0,0.802515416218973,0,0.0,1.0,0,2.0,0.5164605854740716,0,0.0,0.9703491564793164,0,0.0,0.8309405220645542,3,27.0
30.0,3,6.0,0.075,10.864856388705396,0,1.0,0.7005074483343419,0,2.0,0.9015458414865782,0,0.0,1.0,0,0.0,1.0,1,1.0,0.618460063139299,0,2.0,0.9515137850256574,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8825520062227978,0,0.0,0.9469089919514542,0,4.0,0.6100550101781782,0,4.0,0.8262133884900507,0,4.0,0.8205850406491509,0,4.0,0.8572499463940532,0,2.0,0.8345124450984199,2,5.0,0.5673977399550671,3,29.0
35.0,11,32.0,0.3333333333333333,9.533483993355517,2,5.0,0.7752096056277953,0,0.0,0.6825770583551469,0,2.0,0.5260627101831284,0,0.0,1.0,3,11.0,0.4588100728988601,0,0.0,0.92574768300904,0,0.0,0.9094058778176388,0,0.0,1.0,1,3.0,0.6732321657189648,0,0.0,0.9751149422401002,2,11.0,0.6379725198554592,2,9.0,0.5475435332523909,0,4.0,0.9782213820522019,0,4.0,0.9088544693200863,1,3.0,0.6612486512973971,0,2.0,0.41688214770723153,11,54.0
40.0,24,100.0,0.8928571428571429,8.22923816695303,0,0.0,0.7918194332847951,3,11.0,0.48382310846476806,0,4.0,0.859100004688365,0,0.0,0.8784592327895925,5,30.0,0.3744975730278685,1,2.0,0.0,0,0.0,0.9314685552165303,0,0.0,1.0,3,15.0,0.6687860647806502,0,0.0,0.9619842567936623,4,27.0,0.6268740391876556,1,11.0,0.22568143052653938,2,10.0,0.24589477900306222,0,0.0,0.8919608549258892,4,15.0,0.5418684306528311,1,4.0,0.47366860667187943,24,129.0
45.0,16,84.0,0.7,8.203217246531846,2,4.0,0.6988107785995481,0,8.0,0.7911027617560141,0,8.0,0.7788126044509305,0,0.0,0.860304696461294,1,22.0,0.5161203843164629,1,11.0,0.274611436045244,1,1.0,0.15248561910091293,0,0.0,1.0,0,6.0,0.6190160282258612,0,0.0,0.9473140431999654,6,52.0,0.4718074540393689,5,21.0,0.07633272267513903,0,13.0,0.5428776898511273,0,0.0,0.9525521800281279,0,10.0,0.6198170700009389,0,2.0,0.7516481146261982,16,158.0
50.0,12,58.0,0.4264705882352941,8.974441625057981,0,0.0,0.7807927337915044,0,4.0,0.8502599995848371,2,11.0,0.5385671208607777,0,0.0,0.9303699535035834,0,1.0,0.7871200049432718,0,6.0,0.8429533083818435,0,4.0,0.28977819599574456,0,2.0,0.6869321409193295,2,5.0,0.43877958660692384,0,0.0,0.9284007272353381,2,48.0,0.27920084573299475,5,52.0,0.46919382224258516,0,8.0,0.8479706688213388,1,1.0,0.5785890384399894,0,0.0,0.8045538109855705,0,4.0,0.7969232460941235,12,146.0
