step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.190296604081801,0,0.0,0.9471983416294548,0,0.0,0.9385396670391901,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9455753223223351,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.950584593442553,0,0.0,0.9493548464769485,0,0.0,0.9457699692494519,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9502081303390754,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.650058866943885,0,0.0,0.9743236768603187,0,0.0,0.975651124350469,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9761124251969453,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9731966957886284,0,0.0,0.9729699481356208,0,0.0,0.9754455405284859,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9753917211626694,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.232967499575032,0,0.0,0.8733558342071117,0,0.0,0.8500676485220294,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9324831800093089,0,0.0,0.781924127796465,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943433545168794,1,1.0,0.6088090419262545,0,0.0,0.9383320612165748,0,0.0,0.8874045718830237,0,0.0,0.9636027623225294,0,0.0,1.0,0,0.0,0.9404268788493857,0,0.0,0.9387843645892389,1,1.0
20.0,5,22.0,0.39285714285714285,11.064779742876514,1,4.0,0.6920185434188956,2,8.0,0.6557428865242764,0,0.0,1.0,0,0.0,1.0,0,0.0,0.960267094430041,0,0.0,0.9461716812927891,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7719727700643212,2,10.0,0.505785438550685,0,0.0,0.8822484964559433,0,0.0,0.9663614903354242,0,0.0,0.9815376088531285,0,0.0,1.0,0,0.0,0.9373014581168819,0,0.0,0.9580181666920987,5,22.0
25.0,4,9.0,0.125,10.899676525256618,0,2.0,0.8344014870629975,0,3.0,0.7209678007966809,0,0.0,0.9427046753526798,0,0.0,1.0,0,0.0,0.968146608363838,0,0.0,0.9751849474512949,0,0.0,0.9792865273375548,0,0.0,1.0,3,6.0,0.5418896497120812,0,1.0,0.6496880975660304,1,5.0,0.66298878668391,0,2.0,0.8801728073641011,0,0.0,0.9476557473569585,0,2.0,0.3884205782956,0,0.0,0.959438110563295,0,0.0,0.9547326072330673,4,21.0
30.0,5,12.0,0.15,10.792655159630016,1,4.0,0.6736224448037822,2,5.0,0.5541608155333841,0,0.0,0.956715702118052,0,0.0,1.0,0,0.0,0.9401695041813083,0,0.0,0.9423839101639992,0,0.0,0.9590020914177607,0,0.0,1.0,0,4.0,0.5753244697770633,0,0.0,0.8530571780076609,1,4.0,0.7993451811210315,1,5.0,0.6983643803536208,0,2.0,0.6888654445123938,0,4.0,0.9076237776452595,0,2.0,0.8025357463740618,0,0.0,0.9399032090079418,5,30.0
35.0,10,31.0,0.3229166666666667,9.894897756194116,0,2.0,0.649584965952733,0,6.0,0.6270492870626594,0,0.0,0.7370418030782555,0,0.0,1.0,1,1.0,0.7365032070302353,0,0.0,0.6328428524175362,0,0.0,0.9479897340814357,0,0.0,1.0,0,0.0,0.8704831953837232,1,1.0,0.7694755572916466,3,15.0,0.7050797576236995,4,19.0,0.5658419377472392,0,4.0,0.8481552138182284,0,2.0,0.9335334955889892,0,2.0,0.7050312522441274,1,1.0,0.5573145807392113,10,53.0
40.0,24,121.0,1.0803571428571428,8.960511569846615,1,5.0,0.6959356638245061,1,7.0,0.6621158039877008,2,6.0,0.10661922437561859,0,0.0,0.9598856937964756,2,8.0,0.5534081843264119,2,6.0,0.0407669031887076,0,0.0,0.7588141726417446,0,0.0,0.9553488120381518,0,4.0,0.9181721304705787,2,8.0,0.5625260083322123,5,32.0,0.4796680747440632,4,35.0,0.4227476869379672,0,4.0,0.8972811592453803,0,0.0,0.8015106703370652,2,7.0,0.7292877779000105,3,13.0,0.4621868566118552,24,135.0
45.0,20,99.0,0.825,7.747459606942486,0,1.0,0.5902518178941014,0,5.0,0.7376375684147575,0,1.0,0.16000146732437712,0,0.0,0.9580526966839397,4,24.0,0.40563025586005513,3,20.0,4.794335727613027e-06,0,0.0,0.9967546544491257,0,0.0,0.9639843070129194,0,2.0,0.9286962876007939,0,3.0,0.6705056749882453,1,26.0,0.4354638335641582,0,26.0,0.2837882397213224,2,10.0,0.39683320843936315,2,6.0,0.34947286159679,4,19.0,0.5749445530221945,4,31.0,0.5076981792778701,20,174.0
50.0,15,82.0,0.6029411764705882,8.932636159409196,3,9.0,0.650084886467635,0,4.0,0.49851172975424957,0,6.0,0.4480466296251458,0,4.0,0.924990653063477,6,48.0,0.3733794031757994,0,9.0,0.21192876718705164,0,0.0,1.0,0,0.0,0.9564433565993413,0,0.0,0.686800384600011,0,0.0,0.8786398419681869,1,7.0,0.7587738234309191,2,17.0,0.7270099268751925,0,9.0,0.5274892400514091,2,16.0,0.693491928334055,1,13.0,0.5213847089806005,0,18.0,0.6104398382477116,15,160.0
